"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/taxa/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/taxa/list.csv?datainfo&rowcount&base_name=Plantae&variant=all&show=class"
"Access Time","Thu 2025-06-26 21:48:33 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Plantae"
"","variant","all"
"","show","class"
"Elapsed Time","2.14"
"Records Found","32837"
"Records Returned","32837"
"Records:"
"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","reference_no","is_extant","n_occs","phylum","class","order","family","genus","type_taxon"
"406868","406868","txn","","species","Convallarites erecta","","406868","species","Convallarites erecta","406867","71641","extinct","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Convallarites",""
"498919","498919","txn","","genus","Jasione","","498919","genus","Jasione","54311","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Jasione","Jasione montana"
"498920","498920","txn","","species","Jasione montana","","498920","species","Jasione montana","498919","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Jasione",""
"415367","415367","txn","","genus","Subtetrapedia","","415367","genus","Subtetrapedia","54311","71641","extinct","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Subtetrapedia","Subtetrapedia russiana"
"415368","415368","txn","","species","Subtetrapedia russiana","","415368","species","Subtetrapedia russiana","415367","71641","extinct","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Subtetrapedia",""
"409585","409585","txn","","genus","Hippodophycus","","409585","genus","Hippodophycus","54311","71641","extinct","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Hippodophycus","Hippodophycus cowlesi"
"409586","409586","txn","","species","Hippodophycus cowlesi","","409586","species","Hippodophycus cowlesi","409585","71641","extinct","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Hippodophycus",""
"493669","493669","txn","","genus","Royena","","493669","genus","Royena","54311","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Royena",""
"493671","493671","txn","","species","Royena glabra","","493671","species","Royena glabra","493669","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Royena",""
"493672","493672","txn","","species","Royena hirsuta","","493672","species","Royena hirsuta","493669","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Royena",""
"493670","493670","txn","","species","Royena lucida","","493670","species","Royena lucida","493669","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Royena",""
"405060","405060","txn","","genus","Ancistrophyllum","","405060","genus","Ancistrophyllum","54311","71641","extinct","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Ancistrophyllum","Ancistrophyllum stigmariaeforme"
