id,plant_parts_detected,parts_count,parts_normalized
16193,root; leaf; seed; stoma; stomatal,5,root; leaf; seed; stoma; stomatal
16194,leaf; stem,2,leaf; stem
16195,fruit; stem; leaf; root,4,fruit; stem; leaf; root
16196,leaf; root,2,leaf; root
16197,leaf,1,leaf
16198,fruit,1,fruit
16199,leaf,1,leaf
16200,NA,0,NA
16201,NA,0,NA
16202,root,1,root
16203,NA,0,NA
16204,stem; seed; root,3,stem; seed; root
16205,leaf,1,leaf
16206,root,1,root
16207,root,1,root
16208,lesion; leaf,2,lesion; leaf
16209,leaf,1,leaf
16211,NA,0,NA
16212,mycorrhizal; root; leaf; style,4,mycorrhizal; root; leaf; style
16213,style,1,style
16214,NA,0,NA
16215,leaf,1,leaf
16216,root,1,root
16217,NA,0,NA
16218,NA,0,NA
16219,stoma,1,stoma
16220,NA,0,NA
16221,root; mycorrhizal; root nodule,3,root; mycorrhizal; root nodule
16222,stigma,1,stigma
16223,fruit; leaf; root,3,fruit; leaf; root
16224,NA,0,NA
16225,NA,0,NA
16226,NA,0,NA
16227,root; stem; leaf; sheath; shoot,5,root; stem; leaf; sheath; shoot
16228,lesion; leaf,2,lesion; leaf
16230,fruit,1,fruit
16232,root,1,root
16233,stem; rhizome; root,3,stem; rhizome; root
16234,root,1,root
16235,root,1,root
16236,rhizome,1,rhizome
16237,leaf,1,leaf
16238,wood,1,wood
16239,mycorrhiza; root; mycorrhizal,3,mycorrhiza; root; mycorrhizal
16240,NA,0,NA
16241,root,1,root
16242,root; stem; stoma; leaf; stomatal,5,root; stem; stoma; leaf; stomatal
16243,shoot; stoma; xylem,3,shoot; stoma; xylem
16244,seed; seed coat; seed coats,3,seed; seed coat; seed coats
16245,mycorrhizal; offset,2,mycorrhizal; offset
16246,style,1,style
16247,leaf,1,leaf
16248,root; leaf; stem; hair,4,root; leaf; stem; hair
16249,tumor,1,tumor
16250,mycorrhizal; root; shoot; leaf,4,mycorrhizal; root; shoot; leaf
16252,twig; leaf; branch,3,twig; leaf; branch
16253,NA,0,NA
16254,twig; phloem,2,twig; phloem
16255,root; leaf,2,root; leaf
16256,root; seed; fruit,3,root; seed; fruit
16257,root,1,root
16258,inflorescence,1,inflorescence
16259,leaf,1,leaf
16260,root; branch; canker; stem; bark,5,root; branch; canker; stem; bark
16262,seed; root,2,seed; root
16263,shoot; root; leaf,3,shoot; root; leaf
16264,stem; mesocarp,2,stem; mesocarp
16265,seed,1,seed
16266,NA,0,NA
16267,stem; root,2,stem; root
16268,cuticle,1,cuticle
16269,NA,0,NA
16270,NA,0,NA
16271,root,1,root
16272,inflorescence; stem; leaf,3,inflorescence; stem; leaf
16273,fruit; flower; leaf; bud,4,fruit; flower; leaf; bud
16274,canker,1,canker
16275,shoot,1,shoot
16276,shoot; root,2,shoot; root
16277,shoot; root,2,shoot; root
16278,root; stem; leaf,3,root; stem; leaf
16279,style,1,style
16280,twig,1,twig
16281,root; stem; leaf; fruit; seed,5,root; stem; leaf; fruit; seed
16282,seed,1,seed
16283,stem,1,stem
16284,fruit; root; stem; leaf,4,fruit; root; stem; leaf
16285,root,1,root
16286,root,1,root
16287,NA,0,NA
16288,seed; fruit; leaf,3,seed; fruit; leaf
16289,NA,0,NA
16292,proliferation; tumor,2,proliferation; tumor
16293,parenchyma; leaf,2,parenchyma; leaf
16294,leaf; branch,2,leaf; branch
16295,style,1,style
16296,leaf; stem; root; bark,4,leaf; stem; root; bark
16297,leaf,1,leaf
16299,fruit,1,fruit
16300,leaf; ray; tumor,3,leaf; ray; tumor
16301,seed; leaf,2,seed; leaf
16302,stem,1,stem
16303,NA,0,NA
16304,leaf,1,leaf
16305,root,1,root
16306,root; tumor; proliferation,3,root; tumor; proliferation
16307,twig; leaf,2,twig; leaf
16308,root; seed,2,root; seed
16309,NA,0,NA
16310,leaf,1,leaf
16311,root; stem; leaf,3,root; stem; leaf
16312,seed,1,seed
16313,seed; root; leaf,3,seed; root; leaf
16314,leaf,1,leaf
16315,leaf,1,leaf
16316,NA,0,NA
16317,root; seed; leaf,3,root; seed; leaf
16318,fruit,1,fruit
16319,leaf,1,leaf
16320,leaf; node,2,leaf; node
16321,NA,0,NA
16322,tumor,1,tumor
16323,NA,0,NA
16324,root,1,root
16325,shoot; root,2,shoot; root
16326,root; stem; leaf,3,root; stem; leaf
16328,root; petal,2,root; petal
16329,leaf,1,leaf
16330,root,1,root
16332,stem; root; leaf,3,stem; root; leaf
16333,NA,0,NA
16334,NA,0,NA
16335,NA,0,NA
16336,seed; shoot; root,3,seed; shoot; root
16337,mycorrhizal; leaf; root; root tip,4,mycorrhizal; leaf; root; root tip
16338,NA,0,NA
16339,NA,0,NA
16340,rhizome,1,rhizome
16341,stem; root; leaf,3,stem; root; leaf
16342,NA,0,NA
16343,root; root nodule,2,root; root nodule
16344,NA,0,NA
16345,seed; branch,2,seed; branch
16346,NA,0,NA
16347,NA,0,NA
16350,root; stem; leaf,3,root; stem; leaf
16351,NA,0,NA
16352,root; shoot; leaf,3,root; shoot; leaf
16353,twig,1,twig
16354,fruit,1,fruit
16355,leaf,1,leaf
16356,NA,0,NA
16357,seed,1,seed
16358,NA,0,NA
16359,leaf,1,leaf
16360,root; stem; leaf,3,root; stem; leaf
16361,NA,0,NA
16362,leaf,1,leaf
16363,root; stem; leaf,3,root; stem; leaf
16364,leaf,1,leaf
16365,NA,0,NA
16366,leaf; vein; branch; inflorescence,4,leaf; vein; branch; inflorescence
16367,NA,0,NA
16368,root,1,root
16369,leaf,1,leaf
16370,seed,1,seed
16371,root; shoot,2,root; shoot
16372,leaf,1,leaf
