iso_a3,country_name,study_count,centroid_lat,centroid_lon,gdp_year,gdp_current_usd,gdp_log10
NFK,Norfolk Island,0,-29.0514598846554,167.949215558769,NA,NA,NA
PLW,Palau,0,7.28668448242342,134.405780784616,2023,276733062.744141,8.442061049670523
PSE,Palestine,0,31.9152202927946,35.1954797201765,2024,13711100000,10.137072298317332
PCN,Pitcairn Is.,0,-24.3650031851042,-128.317044328348,NA,NA,NA
RWA,Rwanda,0,-1.99032494652452,29.9199828908339,2024,14251642235.0968,10.153864911540788
SSD,S. Sudan,0,7.30869694761168,30.251333835259,2015,11997800760.2242,10.079101645611633
SHN,Saint Helena,0,-12.3792423437637,-9.67419767139883,NA,NA,NA
LCA,Saint Lucia,0,13.8947730044762,-60.9697106588895,2024,2549062962.96296,9.406380562864193
WSM,Samoa,0,-13.7534008948444,-172.165304583466,2024,1175749785.65113,9.070314908242663
SMR,San Marino,0,43.9418652349619,12.4592152183486,2023,2027527227.831,9.306966695098907
SYC,Seychelles,0,-4.66098974524066,55.4760277998135,2024,2167239562.46013,9.33590692004343
SLE,Sierra Leone,0,8.56249233371959,-11.7926118502773,2024,6971127235.3123,9.843303009445696
SXM,Sint Maarten,0,18.0508225280051,-63.0571336446886,2024,1797836665.95136,9.254750233393779
SLB,Solomon Is.,0,-8.92311718635583,159.622342567313,2024,1583964703.75061,9.19974549976791
SOM,Somalia,0,4.73940621544563,45.6792928368265,2024,11967000000,10.077985291029503
BLM,St-Barthélemy,0,17.8988056284832,-62.840676930188,NA,NA,NA
MAF,St-Martin,0,18.0888907568131,-63.0597289426657,2021,649206262.847519,8.812382700782967
KNA,St. Kitts and Nevis,0,17.264578665519,-62.687467247912,2024,1122388888.88889,9.05014335873473
SPM,St. Pierre and Miquelon,0,46.9190002035698,-56.3030603367337,NA,NA,NA
VCT,St. Vin. and Gren.,0,13.2246770323331,-61.2013173917894,2024,1157207407.40741,9.063411204949906
SUR,Suriname,0,4.12984829312196,-55.9124311661924,2024,4416775112.09627,9.64510528695093
SWZ,Swaziland,0,-26.5575464900803,31.4818696059185,2024,4858885840.77236,9.686536695460404
STP,São Tomé and Principe,0,0.443840111655542,6.72421638168838,2024,822154621.088897,8.91495350217607
TJK,Tajikistan,0,38.5365490323607,71.0268540254553,2024,14204575548.5536,10.152428260961095
TON,Tonga,0,-20.4205125691269,-174.801931117209,2023,591139749.44287,8.771690163177826
TKM,Turkmenistan,0,39.1254707152383,59.4464223577453,2024,51387209872.2994,10.7108550378066
TCA,Turks and Caicos Is.,0,21.8306218778817,-71.9739066622584,2024,1745378000,9.241889497505106
VIR,U.S. Virgin Is.,0,17.9545679151246,-64.8028713170847,2022,4672000000,9.669502834104343
VAT,Vatican,0,41.9017498858824,12.4338717583753,NA,NA,NA
ESH,W. Sahara,0,24.2117292428168,-12.2714969904972,NA,NA,NA
WLF,Wallis and Futuna Is.,0,-13.8882289338807,-177.344319930891,NA,NA,NA
