id,match_type,user_supplied_name,resolved_name,status,acceptedScientificName,kingdom,phylum,family,genus,predicted_label,canonicalName,canonicalName_lower
22,genus,NA,Pongamia,ACCEPTED,Pongamia,Plantae,Tracheophyta,Fabaceae,NA,Presence,Pongamia,pongamia
22,genus,NA,Colletotrichum,ACCEPTED,Colletotrichum,Fungi,Ascomycota,Glomerellaceae,NA,Presence,Colletotrichum,colletotrichum
22,genus,NA,Colletotrichum,ACCEPTED,Colletotrichum,Fungi,Ascomycota,Dermateaceae,NA,Presence,Colletotrichum,colletotrichum
22,genus,NA,Rhizopus,ACCEPTED,Rhizopus,Fungi,Mucoromycota,Rhizopodaceae,NA,Presence,Rhizopus,rhizopus
22,genus,NA,Trichoderma,ACCEPTED,Trichoderma,Fungi,Ascomycota,Hypocreaceae,NA,Presence,Trichoderma,trichoderma
22,genus,NA,Penicillium,ACCEPTED,Penicillium,Fungi,Ascomycota,Aspergillaceae,NA,Presence,Penicillium,penicillium
22,genus,NA,Aspergillus,ACCEPTED,Aspergillus,Fungi,Ascomycota,Aspergillaceae,NA,Presence,Aspergillus,aspergillus
22,genus,NA,Aspergillus,ACCEPTED,Aspergillus,Fungi,Ascomycota,Trichocomaceae,NA,Presence,Aspergillus,aspergillus
22,genus,NA,Phomopsis,ACCEPTED,Phomopsis,Fungi,Ascomycota,Diaporthaceae,NA,Presence,Phomopsis,phomopsis
22,genus,NA,Sclerotinia,ACCEPTED,Sclerotinia,Fungi,Ascomycota,Sclerotiniaceae,NA,Presence,Sclerotinia,sclerotinia
22,genus,NA,Phyllosticta,ACCEPTED,Phyllosticta,Fungi,Ascomycota,Phyllostictaceae,NA,Presence,Phyllosticta,phyllosticta
23,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,species,alternaria solani,Alternaria solani,ACCEPTED,Alternaria solani,Fungi,Ascomycota,Pleosporaceae,Alternaria,Presence,NA,NA
24,genus,NA,Alternaria,ACCEPTED,Alternaria,Fungi,Ascomycota,Pleosporaceae,NA,Presence,Alternaria,alternaria
24,genus,NA,Botrytis,ACCEPTED,Botrytis,Fungi,Ascomycota,Sclerotiniaceae,NA,Presence,Botrytis,botrytis
25,species,cercospora nicotianae,Cercospora nicotianae,ACCEPTED,Cercospora nicotianae,Fungi,Ascomycota,Mycosphaerellaceae,Cercospora,Presence,NA,NA
25,genus,NA,Phoma,ACCEPTED,Phoma,Fungi,Ascomycota,Didymellaceae,NA,Presence,Phoma,phoma
25,genus,NA,Cercospora,ACCEPTED,Cercospora,Fungi,Ascomycota,Mycosphaerellaceae,NA,Presence,Cercospora,cercospora
26,species,sporobolus nealleyi,Sporobolus nealleyi,ACCEPTED,Sporobolus nealleyi,Plantae,Tracheophyta,Poaceae,Sporobolus,Presence,NA,NA
26,genus,NA,Sporobolus,ACCEPTED,Sporobolus,Plantae,Tracheophyta,Poaceae,NA,Presence,Sporobolus,sporobolus
26,genus,NA,Alternaria,ACCEPTED,Alternaria,Fungi,Ascomycota,Pleosporaceae,NA,Presence,Alternaria,alternaria
26,genus,NA,Monosporascus,ACCEPTED,Monosporascus,Fungi,Ascomycota,Diatrypaceae,NA,Presence,Monosporascus,monosporascus
27,species,gigaspora albida,Gigaspora albida,ACCEPTED,Gigaspora albida,Fungi,Glomeromycota,Gigasporaceae,Gigaspora,Presence,NA,NA
27,species,acaulospora morrowiae,Acaulospora morrowiae,ACCEPTED,Acaulospora morrowiae,Fungi,Glomeromycota,Acaulosporaceae,Acaulospora,Presence,NA,NA
27,genus,NA,Rhizoglomus,ACCEPTED,Rhizoglomus,Fungi,Glomeromycota,Glomeraceae,NA,Presence,Rhizoglomus,rhizoglomus
27,genus,NA,Claroideoglomus,ACCEPTED,Claroideoglomus,Fungi,Glomeromycota,Claroideoglomeraceae,NA,Presence,Claroideoglomus,claroideoglomus
